title,from_date,emp_no,last_name,first_name,salary
Assistant Engineer,1985-06-07,94704,Thombley,Rimon,43336
Assistant Engineer,1985-06-07,217870,Simmel,JoAnna,42348
Assistant Engineer,1985-06-08,15767,Broomell,Baocai,40000
Assistant Engineer,1985-06-09,106981,Vilarrasa,Maren,40000
Assistant Engineer,1985-06-09,457299,Molenkamp,Zito,40000
Assistant Engineer,1985-06-10,223970,Jansen,Marjo,40000
Assistant Engineer,1985-06-10,495502,Pearson,Hauke,40000
Assistant Engineer,1985-06-16,106582,Coney,Yinlin,43391
Assistant Engineer,1985-06-17,44943,Hmelo,Lalit,41434
Assistant Engineer,1985-06-20,53712,Bauknecht,Hidde,40000
Assistant Engineer,1985-06-20,238245,Diderrich,Richard,45251
Assistant Engineer,1985-06-20,461373,Collette,Yonghoan,41406
Assistant Engineer,1985-06-22,218598,Mandell,Kristen,40000
Assistant Engineer,1985-06-24,435006,Thisen,Panayotis,59292
Assistant Engineer,1985-06-25,48376,Wixon,Sreenivas,50410
Assistant Engineer,1985-06-25,95147,Gecsel,Shietung,40000
Assistant Engineer,1985-06-25,479432,England,Abdelwaheb,65360
Assistant Engineer,1985-06-26,91204,Shigei,Wanqing,47553
Assistant Engineer,1985-06-28,217062,Cappello,Candido,43533
Assistant Engineer,1985-07-04,494483,Cannard,Lech,40000
Assistant Engineer,1985-07-06,231838,Strandh,Kazuhiko,59285
Assistant Engineer,1985-07-07,11322,Pocchiola,Nathalie,43021
Assistant Engineer,1985-07-08,51166,Ginesta,Xiaobin,61207
Assistant Engineer,1985-07-10,269188,Szilard,Pramod,51090
Assistant Engineer,1985-07-11,240344,Koyama,Sarita,40000
Assistant Engineer,1985-07-12,426289,Maginnis,Ute,40000
Assistant Engineer,1985-07-14,36760,Norsworthy,Fumiyo,77750
Assistant Engineer,1985-07-16,106994,Penttonen,Becky,54805
Assistant Engineer,1985-07-18,493695,Camarinopoulos,Sariel,40000
Assistant Engineer,1985-07-19,289153,Molenaar,Shigeichiro,40000
Assistant Engineer,1985-07-19,411255,Lores,George,40000
Assistant Engineer,1985-07-19,428620,Demian,Yinghua,62926
Assistant Engineer,1985-07-21,407745,Strooper,Kensei,45743
Assistant Engineer,1985-07-24,229049,Denis,Alois,70952
Assistant Engineer,1985-07-27,68233,Penz,Frederique,40000
Assistant Engineer,1985-07-28,239094,Montresor,Hatim,52357
Assistant Engineer,1985-07-30,39534,Trystram,Venkatesan,51458
Assistant Engineer,1985-08-01,209163,Verspoor,Moni,40000
Assistant Engineer,1985-08-02,15876,Vakili,Munehiro,51140
Assistant Engineer,1985-08-03,103876,Suppi,Mohammad,40000
Assistant Engineer,1985-08-05,417037,Ranta,Kristian,40000
Assistant Engineer,1985-08-08,35790,Ramsey,Barry,40000
Assistant Engineer,1985-08-09,73161,Denos,Haldon,52403
Assistant Engineer,1985-08-11,482216,Zumaque,Moss,62404
Assistant Engineer,1985-08-12,221801,Rahimi,Kristinn,56232
Assistant Engineer,1985-08-12,481152,Schiper,Zeydy,57933
Assistant Engineer,1985-08-14,64130,Merro,Yinghua,48261
Assistant Engineer,1985-08-15,65605,Matzen,Howell,44011
Assistant Engineer,1985-08-16,498118,Zschoche,Utpal,40000
Assistant Engineer,1985-08-19,410936,Christ,Shaunak,52328
Assistant Engineer,1985-08-20,26846,Chinal,Ewing,64015
Assistant Engineer,1985-08-22,467397,Benzmuller,Nahum,47114
Assistant Engineer,1985-08-27,12662,Alvarado,Leucio,69016
Assistant Engineer,1985-08-27,410578,Leivant,Oscar,56262
Assistant Engineer,1985-08-29,36340,Speek,Xiaoqiu,53971
Assistant Engineer,1985-08-30,51149,Rajcani,Gilbert,40000
Assistant Engineer,1985-08-31,11106,Iwayama,Aris,71446
Assistant Engineer,1985-09-02,468043,Pappas,Mohamadou,59653
Assistant Engineer,1985-09-06,213826,Chenoweth,Subhash,71478
Assistant Engineer,1985-09-09,231895,Hmelo,Shiv,40000
Assistant Engineer,1985-09-10,455142,Bashian,Youssef,62549
Assistant Engineer,1985-09-12,37424,Perri,Bogdan,40000
Assistant Engineer,1985-09-12,68964,Francisci,Fai,60946
Assistant Engineer,1985-09-18,237831,Oaver,Pramod,45187
Assistant Engineer,1985-09-18,413140,Demian,Vincent,40000
Assistant Engineer,1985-09-21,24072,Piveteau,Tianruo,42591
Assistant Engineer,1985-09-22,100516,Staudhammer,Seongbae,40000
Assistant Engineer,1985-09-23,298701,Quittner,Jayson,74565
Assistant Engineer,1985-09-25,242470,Constantine,Tse,46372
Assistant Engineer,1985-09-28,431556,Suermann,Katsuyuki,40000
Assistant Engineer,1985-09-29,81149,Georg,Tianruo,40000
Assistant Engineer,1985-09-29,268624,Erev,Fay,61847
Assistant Engineer,1985-09-30,250934,Buchter,Jingling,40000
Assistant Engineer,1985-10-01,106206,Schlenzig,Behnaam,40000
Assistant Engineer,1985-10-01,447727,Merel,Basem,57220
Assistant Engineer,1985-10-02,258669,Ghazalie,Zissis,63384
Assistant Engineer,1985-10-02,292301,Barbanera,Maris,40000
Assistant Engineer,1985-10-04,21206,Walstra,Krisda,65765
Assistant Engineer,1985-10-05,70956,Genther,Almudena,50155
Assistant Engineer,1985-10-06,432957,Quadeer,Fabrizio,60174
Assistant Engineer,1985-10-07,257441,Maccarone,Munehiko,47954
Assistant Engineer,1985-10-07,402246,Aumann,Leif,43929
Assistant Engineer,1985-10-07,410201,Prenel,Hein,40000
Assistant Engineer,1985-10-09,237971,Steenbeek,Seongbin,45975
Assistant Engineer,1985-10-13,32053,Tiemann,Arunachalam,40000
Assistant Engineer,1985-10-13,92117,Hammerschmidt,Djelloul,40239
Assistant Engineer,1985-10-13,95200,Kalefeld,Guenter,56950
Assistant Engineer,1985-10-13,427918,Llado,Billie,50244
Assistant Engineer,1985-10-14,273687,Beidas,Bouchung,40000
Assistant Engineer,1985-10-17,17125,Zweizig,Akhilish,40000
Assistant Engineer,1985-10-20,83106,Wossner,Limsoon,61831
Assistant Engineer,1985-10-20,260427,Jervis,Munehiro,40000
Assistant Engineer,1985-10-21,228973,Nations,Cheong,52159
Assistant Engineer,1985-10-25,100974,Ebeling,Adas,40000
Assistant Engineer,1985-10-25,493276,Zirintsis,Keiichiro,46193
Assistant Engineer,1985-10-28,422304,Warwick,Manton,50344
Assistant Engineer,1985-10-29,492736,Melton,Taiji,62087
Assistant Engineer,1985-10-30,463748,Yeung,Francesca,49062
Assistant Engineer,1985-11-05,249924,Bale,Remmert,53995
Assistant Engineer,1985-11-06,21321,Raney,Laurentiu,58022
Assistant Engineer,1985-11-07,207190,Mitzlaff,Dinkar,44282
Assistant Engineer,1985-11-07,264415,Furudate,Uzi,59936
Assistant Engineer,1985-11-08,493448,Swist,Alper,40000
Assistant Engineer,1985-11-09,100960,Candan,Saniya,49070
Assistant Engineer,1985-11-12,204877,Gornas,Guther,64613
Assistant Engineer,1985-11-14,475599,Versino,Mototsugu,42357
Assistant Engineer,1985-11-16,47981,Peng,Barna,50274
Assistant Engineer,1985-11-16,78779,Warwick,Xuejun,40000
Assistant Engineer,1985-11-17,287877,Trumbly,Duro,40000
Assistant Engineer,1985-11-18,34231,Emiris,Sachar,40000
Assistant Engineer,1985-11-21,274440,Valette,Mahmut,55196
Assistant Engineer,1985-11-22,15651,Iwayama,Huan,50313
Assistant Engineer,1985-11-25,77988,Gyimothy,Tze,40000
Assistant Engineer,1985-11-28,209179,Gaughan,Kazunori,55593
Assistant Engineer,1985-11-28,214788,Zschoche,Sadun,53892
Assistant Engineer,1985-12-01,494301,Beutelspacher,Rosalie,40000
Assistant Engineer,1985-12-02,259787,Giveon,Yonghong,70865
Assistant Engineer,1985-12-07,284559,Sooriamurthi,Danny,40000
Assistant Engineer,1985-12-08,450306,Gurbaxani,Idoia,40000
Assistant Engineer,1985-12-10,202179,Munch,Emran,40000
Assistant Engineer,1985-12-10,411484,Bain,Arvin,50314
Assistant Engineer,1985-12-11,48405,Gustavson,Mona,46199
Assistant Engineer,1985-12-12,208947,Hockney,Danil,40000
Assistant Engineer,1985-12-12,441925,Kusakabe,Kinh,48015
Assistant Engineer,1985-12-13,497230,Range,Peternela,48742
Assistant Engineer,1985-12-15,202145,Ghandeharizadeh,Lubomir,40000
Assistant Engineer,1985-12-16,91270,Hiraishi,Xiahua,65288
Assistant Engineer,1985-12-17,221609,Champarnaud,Naftaly,71656
Assistant Engineer,1985-12-17,236441,Bednarek,Salvador,58465
Assistant Engineer,1985-12-18,419726,Bellone,Rosita,40000
Assistant Engineer,1985-12-21,409694,Aloisi,Chenye,89337
Assistant Engineer,1985-12-22,39587,Hoppenstand,Irena,41509
Assistant Engineer,1985-12-23,272296,Bennet,Duro,40000
Assistant Engineer,1985-12-25,100964,Mamelak,Arra,45421
Assistant Engineer,1985-12-28,104977,Yetim,Shounak,52210
Assistant Engineer,1985-12-29,408938,Klerer,Along,40000
Assistant Engineer,1985-12-30,406380,Cyne,Xiaobin,40082
Assistant Engineer,1986-01-01,224288,Meriste,Kazunori,46194
Assistant Engineer,1986-01-02,47821,Mitina,Raimond,45083
Assistant Engineer,1986-01-02,267387,Ghemri,Mohammad,40000
Assistant Engineer,1986-01-03,299327,Griswold,Alain,51413
Assistant Engineer,1986-01-03,406336,Heiserman,Nishit,62574
Assistant Engineer,1986-01-07,71100,Karnin,Taisook,45296
Assistant Engineer,1986-01-08,39043,Ferretti,Kersti,40000
Assistant Engineer,1986-01-08,212653,Nyrup,Geoffrey,58258
Assistant Engineer,1986-01-09,218675,Taubenfeld,Yoshimitsu,69566
Assistant Engineer,1986-01-10,441131,Covnot,Mandell,44374
Assistant Engineer,1986-01-12,472020,Litzler,Leszek,57494
Assistant Engineer,1986-01-13,54923,Perz,Masoud,40000
Assistant Engineer,1986-01-13,233040,Weedon,Terresa,45366
Assistant Engineer,1986-01-14,212992,Ferretti,Xiong,46681
Assistant Engineer,1986-01-14,251108,Eiron,Mizuhito,62267
Assistant Engineer,1986-01-18,41274,Giveon,Mari,47643
Assistant Engineer,1986-01-18,421199,Laurillard,Irene,40000
Assistant Engineer,1986-01-19,58125,Cesareni,Xiaoshan,51416
Assistant Engineer,1986-01-19,59488,Montresor,Saeko,48499
Assistant Engineer,1986-01-23,278828,Rosin,Stabislas,50224
Assistant Engineer,1986-01-26,296053,Broomell,Karoline,58426
Assistant Engineer,1986-02-02,107800,Stenning,Goncalo,66719
Assistant Engineer,1986-02-07,439404,Picci,Piyawadee,50883
Assistant Engineer,1986-02-11,74699,Rotem,Moon,40000
Assistant Engineer,1986-02-14,83584,Weiland,Bojan,50059
Assistant Engineer,1986-02-15,284783,Assaf,Shahab,40000
Assistant Engineer,1986-02-16,94582,Baar,Willard,56843
Assistant Engineer,1986-02-18,28478,Simmen,Chiradeep,40000
Assistant Engineer,1986-02-21,48591,Rahier,Kamran,45831
Assistant Engineer,1986-02-24,276683,Shackel,Jingling,40000
Assistant Engineer,1986-02-25,203898,Mateescu,Odysseas,50377
Assistant Engineer,1986-02-25,223397,Morris,Jamaludin,57458
Assistant Engineer,1986-02-26,10066,Schusler,Kwee,69736
Assistant Engineer,1986-02-26,215008,Alpin,Mechthild,56002
Assistant Engineer,1986-03-01,29917,Roohalamini,Sahrah,79167
Assistant Engineer,1986-03-01,422340,Lorcy,Halsur,58027
Assistant Engineer,1986-03-02,230895,Parhami,Godehard,68058
Assistant Engineer,1986-03-06,448323,Kadhim,Dipayan,40000
Assistant Engineer,1986-03-07,405431,Pepe,Gina,40000
Assistant Engineer,1986-03-08,292062,Weisert,Koldo,44885
Assistant Engineer,1986-03-12,22904,Azulay,Irene,40000
Assistant Engineer,1986-03-13,437421,Edelhoff,Rayond,40000
Assistant Engineer,1986-03-15,66869,Worfolk,Pasqua,40000
Assistant Engineer,1986-03-15,495804,Furedi,Xudong,45640
Assistant Engineer,1986-03-16,252224,Heiserman,True,47034
Assistant Engineer,1986-03-20,276327,Kadhim,Lijie,59341
Assistant Engineer,1986-03-21,21908,Parfitt,Fen,52324
Assistant Engineer,1986-03-21,249121,Turnbull,Pantung,51340
Assistant Engineer,1986-03-24,218475,Ranst,Doowon,40000
Assistant Engineer,1986-03-31,457054,Litecky,Pascal,40000
Assistant Engineer,1986-04-01,264848,Fandrianto,Gino,46133
Assistant Engineer,1986-04-03,279753,Georg,Gio,40000
Assistant Engineer,1986-04-13,37164,Coney,Fuqing,46579
Assistant Engineer,1986-04-16,16272,Zeleznik,Shuho,40000
Assistant Engineer,1986-04-16,449950,Rissland,Shen,53795
Assistant Engineer,1986-04-18,407970,Barbanera,Sangeeta,40000
Assistant Engineer,1986-04-19,239443,Ouhyoung,Teruyuki,49950
Assistant Engineer,1986-04-22,79567,Willoner,Karoline,51546
Assistant Engineer,1986-04-24,420040,Ghelli,Minghong,45360
Assistant Engineer,1986-04-25,85377,Vecchio,Ishfaq,50952
Assistant Engineer,1986-04-28,459890,Gyorkos,Angel,52589
Assistant Engineer,1986-04-29,27403,Hiroyama,Mamdouh,62351
Assistant Engineer,1986-05-07,11027,Cappello,Remzi,40000
Assistant Engineer,1986-05-07,223927,Furudate,Bernice,40000
Assistant Engineer,1986-05-08,73539,Serot,Renee,49459
Assistant Engineer,1986-05-11,208883,Munos,Herb,42044
Assistant Engineer,1986-05-11,243948,Ducloy,Macha,48062
Assistant Engineer,1986-05-12,85609,Benner,Otmar,40531
Assistant Engineer,1986-05-13,209997,Servi,Nevin,40000
Assistant Engineer,1986-05-14,453241,Openshaw,Utpal,51175
Assistant Engineer,1986-05-17,274463,Glowinski,Uli,40000
Assistant Engineer,1986-05-18,487663,Brizzi,Jeane,53162
Assistant Engineer,1986-05-19,13535,Schlenzig,Arunas,40000
Assistant Engineer,1986-05-21,90778,Kaiserswerth,Leucio,40000
Assistant Engineer,1986-05-22,245540,Bresenham,Oscal,40000
Assistant Engineer,1986-05-23,109010,Yavatkar,Shaibal,40000
Assistant Engineer,1986-05-24,263174,Wielonsky,Shen,54976
Assistant Engineer,1986-05-24,415904,Matzov,Howell,40000
Assistant Engineer,1986-05-26,73880,Gente,Katsuyuki,40000
Assistant Engineer,1986-05-26,436002,Takanami,Kazuyasu,40000
Assistant Engineer,1986-05-27,284056,Ambroszkiewicz,Tze,63252
Assistant Engineer,1986-05-30,274044,Erni,Yuchang,55056
Assistant Engineer,1986-06-02,458238,Baumann,Barton,40000
Assistant Engineer,1986-06-03,61197,Cannard,Roselyn,40000
Assistant Engineer,1986-06-03,250129,Duclos,Karoline,40000
Assistant Engineer,1986-06-05,419062,Walstra,Stafford,70299
Assistant Engineer,1986-06-06,489782,Schnabel,Jiong,60818
Assistant Engineer,1986-06-09,402017,Saoudi,Phuoc,45055
Assistant Engineer,1986-06-09,479125,Rindone,Parviz,40000
Assistant Engineer,1986-06-10,99299,Claffy,Sachem,52523
Assistant Engineer,1986-06-12,92983,Rosca,Masoud,48444
Assistant Engineer,1986-06-13,38879,Morton,Tsz,40000
Assistant Engineer,1986-06-13,107825,Hemaspaandra,Shounak,40000
Assistant Engineer,1986-06-13,282713,Hertweck,Sedat,60984
Assistant Engineer,1986-06-13,283777,Sridhar,Nectarios,40000
Assistant Engineer,1986-06-17,488338,Pietracaprina,Yaghout,44988
Assistant Engineer,1986-06-23,471942,Hardjono,Heekeun,59805
Assistant Engineer,1986-06-24,208256,Mungall,Hugh,40000
Assistant Engineer,1986-06-29,79449,Stavenow,Tonny,40000
Assistant Engineer,1986-07-05,494473,Suri,Aamod,59639
Assistant Engineer,1986-07-09,475394,Ramaiah,Gully,40000
Assistant Engineer,1986-07-10,210114,Snedden,Phillip,66715
Assistant Engineer,1986-07-11,468804,Axelband,Atreye,48385
Assistant Engineer,1986-07-11,492428,Laventhal,Adin,73220
Assistant Engineer,1986-07-13,92251,Furudate,Jianhao,64631
Assistant Engineer,1986-07-14,76239,Baca,Nectarios,58939
Assistant Engineer,1986-07-14,424576,Billingsley,Weiyi,40000
Assistant Engineer,1986-07-14,488057,Schonegge,Gennady,40501
Assistant Engineer,1986-07-15,258140,Georgakopoulos,Boutros,58933
Assistant Engineer,1986-07-17,427177,Rosch,Moto,57340
Assistant Engineer,1986-07-21,259457,Garnier,Alper,62540
Assistant Engineer,1986-07-21,467443,Ramamoorthy,Xiadong,40000
Assistant Engineer,1986-07-22,257097,Zielinski,Sudharsan,40000
Assistant Engineer,1986-07-24,474376,Bage,Jovan,46646
Assistant Engineer,1986-07-25,54528,Narwekar,Tomoyuki,40000
Assistant Engineer,1986-07-26,480584,Lichtman,Bernardo,78822
Assistant Engineer,1986-07-27,448632,Hiroyama,Chikako,40000
Assistant Engineer,1986-07-28,456584,Talmon,Paris,40000
Assistant Engineer,1986-07-29,455209,Rassart,Shrikanth,68880
Assistant Engineer,1986-08-01,96599,Salverda,Kwee,40000
Assistant Engineer,1986-08-01,204747,Stenning,Zita,40000
Assistant Engineer,1986-08-05,293627,Szilard,Keiichiro,64487
Assistant Engineer,1986-08-09,45318,Dalton,Franziska,40000
Assistant Engineer,1986-08-11,258981,Swist,Guther,56107
Assistant Engineer,1986-08-13,208258,Remmers,Nathalie,57364
Assistant Engineer,1986-08-17,47224,Honiden,Kankanahalli,57544
Assistant Engineer,1986-08-18,225719,Himler,Kolar,40000
Assistant Engineer,1986-08-20,98171,Busillo,Jaroslava,62749
Assistant Engineer,1986-08-21,233783,Orlowska,Tse,40000
Assistant Engineer,1986-08-21,296708,Siepmann,Odinaldo,48381
Assistant Engineer,1986-08-25,445716,Douceur,Sachio,69231
Assistant Engineer,1986-08-31,63399,Azumi,Yonghoan,59974
Assistant Engineer,1986-08-31,257988,Usdin,Phule,66819
Assistant Engineer,1986-09-01,39501,Baalen,Jaana,40000
Assistant Engineer,1986-09-02,222159,Mattern,Hatem,49815
Assistant Engineer,1986-09-03,486831,Quadeer,Ennio,58964
Assistant Engineer,1986-09-04,44575,Pocchiola,Toney,56674
Assistant Engineer,1986-09-07,83822,Haddadi,Menkae,40000
Assistant Engineer,1986-09-08,219000,Yetim,Dayanand,50887
Assistant Engineer,1986-09-08,296186,Fandrianto,Arunas,55948
Assistant Engineer,1986-09-10,24108,Kushnir,Shaz,44261
Assistant Engineer,1986-09-11,283415,Melski,Serap,40000
Assistant Engineer,1986-09-12,234307,Zaumen,Shin,40000
Assistant Engineer,1986-09-16,23969,Sullins,Elgin,61491
Assistant Engineer,1986-09-16,243114,Kemmerer,Gererd,74322
Assistant Engineer,1986-09-22,11249,Cyre,Randi,43324
Assistant Engineer,1986-09-23,50344,Qiwen,Xiping,71860
Assistant Engineer,1986-09-23,487442,Dredge,Boutros,40000
Assistant Engineer,1986-09-24,251720,Birke,Tadanori,40000
Assistant Engineer,1986-09-24,282252,Andreotta,Yurij,40000
Assistant Engineer,1986-09-27,48043,Murtafg,Visit,52886
Assistant Engineer,1986-09-27,489909,Kampfer,Amabile,40000
Assistant Engineer,1986-10-01,281079,Schwartzburd,Kamakshi,40000
Assistant Engineer,1986-10-03,236190,Lichtner,Ugo,49175
Assistant Engineer,1986-10-04,257888,Tiemann,Zhensheng,41353
Assistant Engineer,1986-10-05,296267,Seghrouchni,Shawna,49316
Assistant Engineer,1986-10-06,17816,Kenevan,Toshimo,74497
Assistant Engineer,1986-10-06,70919,Casley,Anwar,51782
Assistant Engineer,1986-10-06,236328,Nations,Chinhyun,40000
Assistant Engineer,1986-10-11,278189,Gunderson,Yinlin,43317
Assistant Engineer,1986-10-13,446115,Heyers,Marko,40000
Assistant Engineer,1986-10-14,454389,Garnick,Nathan,47655
Assistant Engineer,1986-10-17,244664,Sgarro,Hatim,40000
Assistant Engineer,1986-10-18,439115,Backhouse,Pohua,60976
Assistant Engineer,1986-10-18,494219,Papsdorf,Ekawit,56979
Assistant Engineer,1986-10-21,417721,Back,Aron,40000
Assistant Engineer,1986-10-22,39113,Aumann,Janche,65332
Assistant Engineer,1986-10-22,484447,Rajaraman,Christophe,54556
Assistant Engineer,1986-10-23,81068,Ecklund,Uno,41658
Assistant Engineer,1986-10-24,412109,Naumovich,Tadanori,40000
Assistant Engineer,1986-10-25,278051,DuBourdieux,Hugh,59669
Assistant Engineer,1986-10-27,280430,Syrotiuk,Sudharsan,61214
Assistant Engineer,1986-10-28,208877,Shihab,Yinghua,60635
Assistant Engineer,1986-11-01,292494,Kinley,Adhemar,40000
Assistant Engineer,1986-11-10,280161,Suermann,Zeljko,41173
Assistant Engineer,1986-11-11,493136,Bojadziev,Poorav,45259
Assistant Engineer,1986-11-14,58773,Yavatkar,Geoffry,40000
Assistant Engineer,1986-11-14,283855,Klassen,Yuchang,40000
Assistant Engineer,1986-11-18,87449,Validov,Golgen,58725
Assistant Engineer,1986-11-18,480865,Lorch,Akeno,40000
Assistant Engineer,1986-11-20,51724,Kolvik,Xiong,73463
Assistant Engineer,1986-11-20,204838,Akazan,Kannan,40000
Assistant Engineer,1986-11-21,234366,McFarlan,Goncalo,52239
Assistant Engineer,1986-11-22,413566,Massonet,Teunis,40000
Assistant Engineer,1986-11-24,281213,Staylopatis,Kellyn,40000
Assistant Engineer,1986-11-25,471017,Erie,Miomir,40000
Assistant Engineer,1986-11-26,108841,Dayang,Otmar,40000
Assistant Engineer,1986-11-26,487633,Zweizig,Foong,46182
Assistant Engineer,1986-11-28,32455,Brlek,Lokesh,53757
Assistant Engineer,1986-11-30,68798,Murtagh,Theirry,40000
Assistant Engineer,1986-11-30,442243,Syrzycki,Yishai,52110
Assistant Engineer,1986-12-01,415055,Sherertz,Shim,64507
Assistant Engineer,1986-12-01,496388,Axelband,Sarita,77721
Assistant Engineer,1986-12-02,423669,Lakshmanan,Ung,54553
Assistant Engineer,1986-12-07,24140,Thombley,Basem,59707
Assistant Engineer,1986-12-07,31802,Huhdanpaa,Murthy,41583
